deck size       shuffle count
------------------------------
 1               1
 2               2
 3               2
 4               4
 5               4
 6               3
 7               3
 8               6
 9               6
 10              10
 11              10
 12              12
 13              12
 14              4
 15              4
 16              8
 17              8
 18              18
 19              18
 20              6
 21              6
 22              11
 23              11
 24              20
 25              20
 26              18
 27              18
 28              28
 29              28
 30              5
 31              5
 32              10
 33              10
 34              12
 35              12
 36              36
 37              36
 38              12
 39              12
 40              20
 41              20
 42              14
 43              14
 44              12
 45              12
 46              23
 47              23
 48              21
 49              21
 50              8
 51              8
 52              52
 53              52
 54              20
 55              20
 56              18
 57              18
 58              58
 59              58
 60              60
 61              60
 62              6
 63              6
 64              12
 65              12
 66              66
 67              66
 68              22
 69              22
 70              35
 71              35
 72              9
 73              9
 74              20
 75              20
 76              30
 77              30
 78              39
 79              39
 80              54
 81              54
 82              82
 83              82
 84              8
 85              8
 86              28
 87              28
 88              11
 89              11
 90              12
 91              12
 92              10
 93              10
 94              36
 95              36
 96              48
 97              48
 98              30
 99              30
 100             100
